id,title,author,cities
6194,Woodcraft,"George W. Sears","21732,21921"
6195,"Sermons on the Card and Other Discourses","Hugh Latimer","21651,21651,7341"
6196,Ship-Bored,"Julian Street","20357,20357"
6197,"Colonel John Brown, of Pittsfield, Massachusetts, the Brave Accuser of Benedict Arnold","Archibald Murray Howe","21149,21149,21149,21149,21149,21359,21359,21098"
6198,"The Story of Cole Younger, by Himself","Cole Younger","20357,20357,20430,20357,20357,20357,20357,20357,20357,20357,20357,21081,20357,20357,20357,20357,20357,20357,22455,19989,19993,19989,20540,19993,20357,19989,20357,19993,22455,19989,19993,19993,239,1601,20357,239,20357,20357,20357,19986,21324,21324,20357,22455,20430,21643,20357,20357,20430,236,20357"
6199,"The Story of My Life","Egerton Ryerson","2491,21740,2438,20792,21740,2514,21740,2515,2512,2512,2491,21740"
6200,"The Lowest Rung","Mary Cholmondeley",20430
6201,"Trent's Trust and Other Stories","Bret Harte","239,239,239,239,239,1295,239,1295,239,239,239,239,239,4084,20430,4084,239,239,239,2870"
6202,"Cobb's Bill-of-Fare","Irvin Shrewsbury Cobb","20430,20430,22151"
6203,"History of the Thirty-Ninth Congress of the United States","Wiliam H. Barnes","1601,20430,20430,20789,22294,1601,1601,1601,20430,21150,21921,20430,21921,21921,21921,21388,20321,21149,20430,21458,20301,20556,20373,20000,21921,20341,20792,239,21921,21921,21921,20321,20342,21921,21363,21044,20430,21149,21921,20321,20000,20430"
6204,"Games For All Occasions","Mary E. Blain","21852,21194,20321,20430,21359,22376"
6205,"A Modern History, From the Time of Luther to the Fall of Napoleon","John Lord","20430,169,14578,6981,6981,6981,2516,19983,8325,21359,21359,21359,20430,21359,21969,21740,15879,2515,15879"
6206,"The Madonna of the Future","Henry James","144,11895,144,144"
6207,"Through Veld and Forest","Harry Collingwood","322,23489,23613,322,322,23508,23508,23508,23508,23508,322,23508,23508,322,23508,322,322,322,23508,23508,322,23508,322,322,23508,23508,322,23489,23489,322,23489,322,23489,23489,23508,23489,322,23508,23613,23489,23489,23508,23508,23489,322,23489,23508,322,23650"
6208,"Ren�e Mauperin","Edmond de Goncourt and Jules de Goncourt",23228
6209,"History of the Nineteenth Army Corps","Richard Biddle Irwin","22529,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20410,20430,20430,20410,20430,20410,20410,20430,20430,20410,20410,20410,20430,20410,20410,20410,20410,20410,20410,20430,20410,20430,20430,20410,20410,20410,20430,20517,20430,20410,20410,20410,223,1601,20410,20097,20410,20410,20430,20410,20430,20430,20430,20430,20430,20430,20430,20430,20410,22687,20430,20410,20646,20430,20646,20430,20430,20410,20430,20430,23459,19989,20430,19989,20410,20430,20410,20430,20410,20410,20410,20410,20410,20429,20430,20429,20430,20430,20429,20410,20410,20430,20430,20430,20430,20097,20429,20430,20430,20430,20410,20410,20410,20410,20410,20430,20608,20792,20430,20410,20430,20792,20792,20430,20792,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,20430,21818,20430,20430,20430,20430,21818,20430,20430,20430,2870,20430,20410,20097,20430,20097,20430,20430,20410,21311,20430,2"
6210,"The Monitor and the Merrimac","J. L. Worden et al.","21071,20430"
6211,"The Negro and the Nation","George S. Merriam","20321,20321,20000,21149,21149,21149,20430,1169,1169,20000,1601,1601,1405,20000,20430,20806,20430,20430,20430,20430,20430,20430,20430,1601,20806,20000,20000,21149,20430"
6212,"The Science of Fairy Tales","Edwin Sidney Hartland","474,20891,18527,22674,505,505,505,22674,474,474,15565,474,474,474,474,474"
6213,"A Middy of the King","Harry Collingwood","322,322,322,5435,322,322,322,322,322,322,322,322,322,322"
6214,"Bell's Cathedrals: Southwark Cathedral","George Worley",2514
6215,"Dona Perfecta","B. Perez Galdos","5987,5987,2869"
6216,"The American Family Robinson","D. W. Belisle",22128
6217,"The Red Romance Book",Various,"142,142"
6218,"A Journey to America in 1834","Robert Heywood","20321,19986,21000,2461,20430,1405,21969,21969,21969,21853,21969,20321,20321,21000,2461,2461"
6219,"Booker T. Washington","Emmett J. Scott and Lyman Beecher Stowe","21921,21921,21921,21921,20430,21921,22720,20430,21958,19989,20430,20430,21608,21921,21071,21921,21921,21921,21921,21149"
6220,"Northern Nut Growers Association Report of the Proceedings at the Eleventh Annual Meeting",Various,"21521,20607,21149,19942,22159,21782,21993,21921,20772,22128,22746,20459,20459,20321,21521,20347,239,20430,8334,2870,15664,21521,20321,20321,20321,20607,21921,21857,19942,21185,21521,20607,20459,20459,21921,239,21439"
6221,"Freaks of Fortune","Oliver Optic","21820,23613,21820,21969,23613"
6222,Exeter,"Sidney Heath",20525
6223,"Bromide Printing and Enlarging","John A. Tennant","21921,239"
6224,"The Colonial Mortuary Bard; ''Reo,' The Fisherman; and The Black Bream Of Australia","Louis Becke","21458,21458,20976"
6225,"History Of Florence And Of The Affairs Of Italy","Niccolo Machiavelli","21747,21747,21747,21747,1571,1571,144,1571,11895"
6226,"The Standard Operaglass","Charles Annesley","15879,15879,15879,15879,15879,15879,15879,15879"
6227,"Diversions in Sicily","H. Festing Jones","1571,1571,1571"
6228,"Ontario Teachers' Manuals: Household Management","Ministry of Education",21558
6229,"The Loyalists of America and Their Times, Vol. 2 of 2","Edgerton Ryerson","15378,2438,21740,21740,2438,2438,2438,2438,169,21740,21740,21740,21740,21740,21740,21740,21740,21740,2523,21740,21740,21740,21740,21740,21359,21740,21969,21740,21740,21740,21740,21740,21740,21740,2438,21740,21740,2515,21150,21740,21740,21740,21740,21740,2515,21740,2515,2438,21672,2438,2438,2438,2438,2438,21740,21740,2438,22824,22824,2515,2438,2515,21740,2490,21740,21740,21740,21740,2438,21740,2490,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,2438,21359,21740"
6230,"Hortense, Makers of History Series","John S. C. Abbott","20184,14004,14004"
6231,"The Grateful Indian","W.H.G. Kingston","420,420,2515,2538,2515,15652,1169,22760,22760,22760,22760,21651"
6232,"The Rich Little Poor Boy","Eleanor Gates","21921,21921,21921"
6233,"Fairy Fingers","Anna Cora Mowatt Ritchie","20430,20430,20430,21921,20430"
6234,"A Soldier's Life","Edwin G. Rundle",2561
6235,"The Voyages of the Ranger and Crusader","W.H.G. Kingston","23613,23613"
6236,"Aether and Gravitation","William George Hooper",19986
6237,"In Our First Year of the War","Woodrow Wilson","14249,18445"
6238,"The Three Commanders","W.H.G. Kingston","14578,236,17292,17292,22721,22721,22721,22721,22721,144,1169,1169,1169,1169,21147,1169,1169,1169,1169,1169,1169"
6239,Quilts,"Marie D. Webster","8325,8325,20430"
6240,"Nan Sherwood at Palm Beach","Annie Roe Carr","21921,20104,20104,20104,20224"
6241,"Chips From A German Workshop - Volume I","Friedrich Max  Mueller",8334
6242,"The Making of a Trade School","Mary Schenck Woolman","21921,21921,21921,21921"
6243,"New Italian sketches","John Addington Symonds","18445,18445,18445,18445,18445,18445,18445,18445,1571,1571,11898"
6244,"Anting-Anting Stories","Sargent Kayme","1571,8334,8334,8334"
6245,"William Black","John Maclean","21740,21740,21740,21740,21740,21740,21740,21740,21740"
6246,"The Daughter of a Magnate","Frank H. Spearman","2576,2576,2576,2576,2576,2576,2576,2576,2576,2576"
6247,"Some Personal Recollections of Dr. Janeway","James Bayard Clark","21740,21921"
6248,"Samuel Brohl & Company","Victor Cherbuliez","20430,239,239,239,239,239,239"
6249,"The Ghost Breaker","Paul Dickey",21921
6250,"On the Vice of Novel Reading.","Young E. Allison",22724
6251,"The Woman with a Stone Heart","Oscar William Coursey","4037,239,146,15656,15656,146,146,15656,146,146,15656,15656,146,15656,4037,1601,20908"
6252,"By Proxy","Gordon Randall Garrett","22455,22746,22455,22455,22455"
6253,"The Biology, Physiology and Sociology of Reproduction","Winfield S. Hall",22776
6254,"Bamboo Tales","Ira L. Reeves","20357,20357,239,236,239,239,239,236,5972,21921,1601,234,234,5972,5972,5972,5972,5972,5972,5972,5972,5972,1601"
6255,"The Crusade of the Excelsior","Bret Harte","239,239,239,239,239,236,239,239,239,2868,2870,239,2870,2870,2870,239,2870,239,20078,239,239,236,2870,239,236,15879,236,239,239,239,239,236,2870,239,15823"
6256,"The Negro at Work in New York City","George Edmund Haynes","21921,21921,20430,20430,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21726,21921,20430,20430,21921,21921,21921,8325,21921,21921,21921,21921,4079,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921,21915,21921,21921,21921,21921,21732,21921,21921,21921,21921,21921,21921,21921,21921,21921,21921"
6257,"Stories of New Jersey","Frank Richard Stockton","21772,8325,8325,8325,8325,8325,8325,8325,8325,21754,21716,21740,21754,21740,239,22455,22455,20078,21754,21754"
6258,"The Western World","W.H.G. Kingston","1598,169,15516,169,22720,22720,169,1598,1598,19983,19983,169,19983,13372,13372,2018,13372,14490,169,2018,169,169,2018,169,169,169"
6259,"Danger! A True History of a Great City's Wiles and Temptations","William Howe","21726,20430,21921,3857,3857,21820,21921,21921,21651,21820,21833,21820,21820,21921,21921,21820,21833,21921,21806,21820,20430"
6260,"Amateur Fish Culture","Charles Edward  Walker","1601,1601"
6261,"Punch, or the London Charivari, Vol. 146, May 20, 1914",Various,2490
6262,"Letters from Port Royal",Various,"20789,20684,21921,20789,22294,20789,20789,20789,22294,22294,20789,20789,20789,20789,20789,20789,20789,20789,20789,20430,20789,22294,20789,20789,20789,20789,20789,20684,20789,20684,20789,20684,20789,20789,20789,20789,20789,20789,20789,20789,20684,20097,20789,20684,20789,20684,20789,20789,22294,20789,20789,20789,20684,20097,20789,20789,20430,20789,20789,20789,20684,22294,20789,20684,20789,22294,20684,20430,22294,20789"
6263,"Stories from English History","Hilda T. Skae","2515,2515,2515,2515"
6264,"A History of Art for Beginners and Students: Painting, Sculpture, Architecture","Clara Erskine Clement","6965,1571,1571,144,144,1571,1571,22222,22222,1571,144,1571,236,236,21921,2514,22222"
6265,"Spontaneous Activity in Education","Maria Montessori","144,2538"
6266,"Stories Of Georgia","Joel Chandler Harris","21757,20430,20430,21921"
6267,Mary-'Gusta,"Joseph C. Lincoln","239,22724,22724,22724,22724,22724,22888"
6268,"Myths & Legends of our New Possessions & Protectorate","Charles M. Skinner","236,236,4079,236,4079,236,236,236,236,236,4079,4079,4079,4079,4079,236,152,4122,22456,239,22456,4084"
6269,"Stanford Stories","Charles K. Field","22455,239,15646,22455,22455,4045,239,22516,239,22516,22610,4084,239,22516,22516,22516,22516,22516,22516,22516,22516,22516,22516,22516,22516,4084,22516,4084,22516"
6270,"Bidwell's Travels, from Wall Street to London Prison","Austin Biron Bidwell","21149,239,21726,21726,21726,239,21969,2491,15879,15879,15879,1405,1405,1405,2867,2867,239,1405,2867,3854,2867,3854,3854,1405,15664,15664,15664,15664,20097,4045,4045,3854,2867,15664,4045,4037,4045,4037,4045,4037,1160,239,4045,239,21149"
6271,"The Battle of Spring Hill, Tennessee","John K. Shellenberger","20194,20194,20194,20194,20194,20194,20194,20194,0,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194,20194"
6272,"The Campaign of Trenton 1776-77","Samuel Adams Drake","21921,20475,20475,21716,20475,20475,21993,21993,20475,20475,20475,21993,21993,21716,21919,21716,21716,21716,21716,21740,21740,21740,21740,21754,21740,21716,21740,21740,21740,21754,20475,21993,20475,20475,21716,21754,21993,20475,21716,20475,21716,21993,21740,21993"
6273,"The Valley of the Kings","Marmaduke Pickthall","65,65,5852,5852,65"
6274,"The Loss of the Kent, East Indiaman, in the Bay of Biscay","Duncan McGregor",1405
6275,"Mizora: A Prophecy","Mary E. Bradley",22120
6276,"Achenwall's Observations on North America","Gottfried Achenwall",20430
6277,"Wit and Wisdom of Don Quixote","Miguel de Cervantes Saavedra","1571,235,235,15879,15879,20891,6112"
6278,"Captain Cook","W.H.G. Kingston","1169,4084,413,23613,23613,23613,23613,22760,21969,2515,2515,21651,23613,21651,21651,17292,21651,21651,21651"
6279,"The Story of General Gordon","Jeanie Lang",5852
6280,"Diggers in the Earth","Eva March Tappan","20430,239,20430,2490,21538"
6281,"The World Peril of 1910","George Griffith","8334,7993,20976,20976"
6282,"A Treatise on the Tactical Use of the Three Arms: Infantry, Artillery, and Cavalry","Francis J.  Lippitt",22516
6283,"Jack O' Judgment","Edgar Wallace","2576,2576,2576,239,239"
6284,"The Opal Serpent","Fergus Hume","2576,2576,2576,2576"
6285,"'THE CIRCUS BOYS ON THE PLAINS; Or, The Young",Unknown,"20430,20430,21192,21192,20430"
6286,"A Prisoner of Morro","Upton Sinclair","20097,20097,20097,20097,20097,20097,20097,1571,1571,1571,1571,1571,20097,1571,1571,1571,20097"
6287,"Tutors' Lane","Wilmarth Lewis","22455,20430,20045,21150"
6288,"Up the River","Oliver Optic","20430,20430,20430,20097,20097,20097,20430,20097,20097,20097,20097,20097,20430,20097,20097,20097,20430,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20097,20430,20097,20097,20430,20097,20430,20430,20430,20430,20097,20430,20430,20097,20430,20430,20430,20430,20097,20430,20097,20097,20430,20430,20430,20097,20430,20430,20430,20430,20430,20097,20430,20430,20430,20410,20430,20430,20410,20430,20097,20430,20430,20430,20410,20097,20410,20430,20430,20410,20410,20410,20410,21740,20430,20430,20430,20097,20097,20097,20097,20097,20097,20097,20097,20097,20430,20097,20097,20097,20430,20097,20097,20430,20430,20410"
6289,"Celebrated Travels and Travellers","Jules Verne","6981,18527,18527,18527,18527,18527,18527,18527,18527,1169,1169,1571,1571,18527,1169,1571,1405,1169,236,236,15656,236,3858,169,169,169,18527,2515,1405,169,239,239,19983,18527,14578,19983,14578,19983,4037,13752,15879,21147,21969,236,142,1169,1169,1169,1169,1169,22171,6981,1571"
6290,"The Letters of Queen Victoria, Vol 2 (of 3), 1844-1853","Queen Victoria","2516,8334,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,16720,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2516,2516,2514,2516,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,556,556,2514,2514,2514,2514"
6291,"The Birth of Yugoslavia, Volume 2","Henry Baerlein","191,17054,17054,17054,18445,11807,17054,17054,11893"
6292,"The Royal Pawn of Venice","Mrs. Lawrence Turnbull","1571,1571,1571,239,141,1571,11898"
6293,"Games and Play for School Morale",Various,20430
6294,"Blow The Man Down","Holman Day","21149,21071,21726"
6295,"The Arbiter","Lady F. E. E. Bell",474
6296,"A History of Sea Power","William Oliver Stevens and Allan Westcott","1169,474,239,14249,236,1169,4079,1169,1169,8325,1169,20430,4079,4079,23613,20430,21150,20976,239,20976,8334,20097,20976,236,239,20097,236,20097,152,20976,20976,20976,20976,20976,20976,152,20976,20976,20976,20976,20976,20976,20976,239,21071,20976,236,1169"
6297,"America First",Various,"20321,20321,20321,20430,1405,21651,21651,21651,20430,15135"
6298,"The Escape of Mr. Trimm","Irvin S. Cobb",21726
6299,"Darwin, and After Darwin (Vol. 1 and 3, of 3)","George John Romanes",23459
6300,"The Rider in Khaki","Nat Gould",2576
6301,"John Frewen, South Sea Whaler","Louis Becke","21150,21147,21458"
6302,"A Memory Of The Southern Seas","Louis Becke","21458,239,21458,21147,21147,21458"
6303,"All Afloat","William Wood","15135,22171,2490,21740,21740,1601,1601,20430,2461,15135,21740,1571"
6304,"The Better Germany in War Time","Harold Picton",7952
6305,"The Three Midshipmen","W.H.G. Kingston","474,474,8334,8334,8334,8071"
6306,"The Forest Exiles","Mayne Reid","19983,1598,2274"
6307,"Translations of German Poetry in American Magazines 1741-1810","Edward Ziegler Davis","21149,21149,19986,21149,15879,20772,21740,21149,20772"
6308,"Life at Puget Sound: With Sketches of Travel in Washington Territory, British Columbia, Oregon and California","Caroline C. Leighton","239,22955,22977,239,22955,22819,239,239,239,22955,22955,22955,22955,22955,22977,494,22977,22977,22977,22977,22977,22955,236,239,239,236,22955,22977,22977,4045,22955,22955,22955,22955,239,239,22955,236,22819,20129,15646,15646,1169,236,20078,239,22955,239,15646,15646,15646,15646,15646,1169,4037,15646,239,239,239,20078,239,239,239,239,239,239,239,239,15646,239,239,4084,15646,239"
6309,"Sketches of Travel in Normandy and Maine","Edward A. Freeman","21650,21650,420,6965,21650,6965,6965,21650,6965,21650,21650,21650,21650,6965,6965,21650,6965,6965,2538,21650,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,6965,2538,6965,6965,6965,6965,21650,6965,6965"
